,Col0,Col1,Col2,Col3
0,0124 RECEIPT 011000000003 00  0050523PR  05/12/23 IEXP002  023  SAAPR243  SCO0124,51.0200,0.00,"1,645.40"
1,00  0050423PR  05/12/23 IEXP002  023  SAAPR243  SCO0124,351.1700,0.00,"11,325.28"
2,0124 RECEIPT 011000001002 00  0050423PR  05/12/23 IEXP002  023  SAAPR243  SCO0124,291.3600,0.00,"11,508.75"
3,0103 USAGE    011010000013 00  0052300IU  05/18/23 MR4351F  341             270,39.4870,"1,056.63",0.00
4,0103 USAGE    011012000008 00  0052300IU  05/18/23 MR4351F  341             222,61.3270,"1,631.30",0.00
5,0108 USAGE    011000000003 11  0359600FR  05/23/23 MR4451S  261             220,4.0000,107.22,0.00
6,0108 USAGE    011000002001 11  0357200FR  05/17/23 MR4451S  282             220,10.0000,258.91,0.00
7,00  0358300FR  05/19/23 MR4251T  260             220,10.0000,244.00,0.00
8,11  0359000FR  05/22/23 MR4451S  261             220,52.0000,"1,346.32",0.00
9,11  0359600FR  05/23/23 MR4451S  261             220,28.0000,724.94,0.00
10,0108 USAGE    011020000085 00  0046400IU  05/17/23 2018724  200             58,1.0000,57.06,0.00
11,00  0046700IU  05/17/23 2115043  200             58,2.0000,114.12,0.00
12,00  0046500IU  05/17/23 3711085  200             58,2.0000,114.12,0.00
13,00  0046600IU  05/17/23 3711105  200             58,2.0000,114.12,0.00
14,0122 USAGE    011000000467 00  0144700FR  05/17/23 MR4451S  261             220,10.0000,360.25,0.00
15,00  0144700FR  05/17/23 MR4451S  261             220,40.0000,"1,440.98",0.00
16,00  0145300FR  05/18/23 MR4451S  261             220,88.0000,"3,170.16",0.00
17,00  0146100FR  05/19/23 MR4451S  261             220,20.0000,720.49,0.00
18,00  0146100FR  05/19/23 MR4451S  261             220,30.0000,"1,080.74",0.00
19,0122 USAGE    011000002001 00  0145300FR  05/18/23 MR4451S  261             220,62.0000,"1,900.25",0.00
20,00  0146100FR  05/19/23 MR4451S  261             220,20.0000,612.98,0.00
21,00  0146100FR  05/19/23 MR4451S  261             220,30.0000,919.48,0.00
22,0124 USAGE    011000001002 00  0158500FR  05/22/23 MR4451S  284             ???,12.0000,474.00,0.00
23,0124 USAGE    011000002001 00  0158500FR  05/22/23 MR4451S  261             220,2.0000,53.83,0.00
24,00  9159500FR  05/23/23 MR4451S  261             220,100.0000,"2,691.53",0.00
25,0124 USAGE    011020000085 00  0024900IU  05/17/23 3711070  201             58,12.0000,89.62,0.00
26,00  0025000IU  05/17/23 3711070  201             58,12.0000,89.62,0.00
27,0127 USAGE    011031000001 12  0624400IU  05/19/23 MR4451S  261             000,"1,225.3520",0.00,0.00
28,0140 NON-VEND 011010000001 02  0625200IN  05/21/23 IEXP002  023,137.5410,0.00,"11,456.21"
29,0140 USAGE    011010000001 02  0625100IU  05/19/23 MS4371F  345             280,137.5410,"11,456.22",0.00
30,0180 USAGE    011011000060 10  0100000IU  05/18/23 MR4151X  341             999,5.6170,770.65,0.00
31,0198 RECEIPT  011021000008 00  0051923PR  05/22/23 IEXP002  023  SAMAY983  SCO0198,50.0000,0.00,690.00
32,0198 USAGE    011021000008 00  0175400FR  05/18/23 B20A397  392             999,13.0000,179.40,0.00
33,0198 USAGE    011024000006 00  0177300FR  05/23/23 B20A643  392             999,8.0000,"1,861.33",0.00
